package_name,downloads
@mchp-mcc/pic-8bit,7667
prismarine-web-client,7503
cycletls,7466
iobroker.lovelace,7368
node-darwin-x64,7285
@anthropic-ai/claude-code-win32-arm64,6630
unicode-8.0.0,6619
dirac-cli,6259
@cdktf/provider-google-beta,6195
@dcl/explorer,6179
@turbo/gen-windows-64,6156
@faststore/core,6131
@oh-my-pi/pi-natives,6115
emoji-assets,6034
happy,6012
@bentley/imodeljs-win32-x64,5995
@material-symbols-svg/react-rounded,5921
nswag-portable,5903
@snyk/vervet,5870
@carbon/icons-angular,5810
bs-platform,5794
@ip-location-db/geolite2-city,5705
@layerzerolabs/lz-evm-sdk-v2,5702
@sigmashake/ssg-win32-x64,5641
jqwidgets-scripts-custom,5522
ctt-babylon,5412
zh-stroke-data,5328
coveo-search-ui,5323
node-linux-arm64,5292
j-gallery,5286
@eusoumarlon/wa-version,5278
react-native-filament,5254
@bentley/imodeljs-linux-x64,5249
@vscode/openssl-prebuilt,5227
groove-dev,5216
china-division,5178
@dcl/builder-site,5167
@inkeep/agents-manage-ui,5079
genshin-db,4957
ax-code-linux-x64,4879
@signalapp/libsignal-client,4872
@kilocode/cli-darwin-arm64,4839
ligolang,4832
@cubic-dev-ai/cli-linux-x64,4829
@layerzerolabs/lz-evm-sdk-v1,4824
@cubic-dev-ai/cli-linux-x64-baseline,4816
@cubic-dev-ai/cli-linux-x64-baseline-musl,4810
@cubic-dev-ai/cli-linux-x64-musl,4762
@kmmao/happy-coder,4759
react-native-barcode-builder,4656
ax-code-windows-x64,4629
claudio-cli-win-x64,4618
decocms,4597
funcunit,4571
mux,4561
@omega-edit/server,4525
@f5xc-salesdemos/pi-natives-linux-x64-gnu,4430
ax-code-linux-x64-baseline-musl,4394
ax-code-linux-x64-musl,4363
@cyclonedx/cdxgen-plugins-bin-linuxmusl-amd64,4328
ax-code-linux-x64-baseline,4318
goldpankit,4251
@nativescript/android,4202
unicode-12.1.0,4179
@pepperize/cdk-organizations,4178
@f5xc-salesdemos/pi-natives,4147
@onomy/jsi-rn-wallet-core,4118
@vladmandic/human-models,4110
cna-template,4095
ax-code-linux-arm64-musl,4094
pokeapi-sprites,4082
@agenshield/cli-darwin-arm64,4029
bymorning-ai-windows-x64-baseline,3990
ax-code-linux-arm64,3957
tdesign-web-components,3949
@nativescript/ios,3944
@syncfusion/blazor-themes,3906
ax-code-windows-arm64,3882
geojson-places,3869
@f5xc-salesdemos/pi-natives-win32-x64-msvc,3846
@nativescript/types-android,3801
