package,version,fan_in_global,fan_out_global,jt_in_degree,jt_out_degree,jt_instability,global_instability,jt_dependency_score,msr_ecosystem_risk_score
all-the-package-repos,2.0.2896,6,13,0,0,1.0000,0.6842,13,5.78
@diplodoc/cli,5.39.1,3,72,0,0,1.0000,0.9600,72,5.78
@cumulus/api,21.3.4,3,70,0,1,1.0000,0.9589,70,5.77
@xdh/my,4.2.16,3,59,0,0,1.0000,0.9516,59,5.73
@things-scene/visualizer,0.5.47,5,14,0,0,1.0000,0.7368,14,5.73
@alpaca-finance/alpaca-contract,1.2.47,3,53,0,0,1.0000,0.9464,53,5.70
@cdktf/node-pty-prebuilt-multiarch,0.10.2,4,17,0,0,1.0000,0.8095,17,5.66
@iy4u/common-client-lib,4.0.35,3,44,0,0,1.0000,0.9362,44,5.64
repzo,1.0.278,6,12,0,0,1.0000,0.6667,12,5.63
jcamp-data-test,2.5.0,5,13,0,0,1.0000,0.7222,13,5.62
electron-apps,1.9312.0,3,41,0,0,1.0000,0.9318,41,5.61
coinstac-simulator,6.9.8,4,16,0,0,1.0000,0.8000,16,5.59
@wix/bex-utils,2.100.0,3,37,0,0,1.0000,0.9250,36,5.57
hyposcript,1.2.0,4,15,0,0,1.0000,0.7895,15,5.52
@mantleio/contracts-bedrock,0.1.0,3,33,0,0,1.0000,0.9167,33,5.52
@bonfhir/codegen,2.4.2,3,31,0,0,1.0000,0.9118,31,5.49
@cpp.js/package-gdal,1.0.0,6,11,0,3,1.0000,0.6471,11,5.47
deepspeech,0.9.3,10,11,0,0,1.0000,0.5238,11,5.45
fusionmaps,4.1.0,4,14,0,0,1.0000,0.7778,14,5.44
@sonarwatch/token-lists,1.24.84,3,27,0,0,1.0000,0.9000,27,5.42
@fex-to/provider-icons,3.1.16,3,27,0,0,1.0000,0.9000,26,5.42
@microsoft/sp-webpart-workbench,1.12.1,77,30,0,0,1.0000,0.2804,30,5.30
desk-ui,3.9.0,3,22,0,0,1.0000,0.8800,22,5.30
bruker-data-test,1.0.0,6,10,0,0,1.0000,0.6250,10,5.28
@cdktf/provider-google,16.12.1,32,17,0,0,1.0000,0.3469,17,5.27
wc-range-datepicker,1.3.0,3,21,0,0,1.0000,0.8750,21,5.27
@distilled.cloud/aws,0.21.3,3,20,0,0,1.0000,0.8696,20,5.24
@portal-hq/core,4.6.0,4,12,0,0,1.0000,0.7500,12,5.24
code-server,4.117.0,3,19,0,0,1.0000,0.8636,19,5.20
@stdlib/datasets,0.3.0,3,19,0,0,1.0000,0.8636,19,5.20
froala-design-blocks,2.0.1,3,19,0,0,1.0000,0.8636,19,5.20
@lunapaint/tga-codec,0.2.0,4,11,1,0,0.9167,0.7333,12,5.13
sirocco-wc,1.1.25,3,17,0,0,1.0000,0.8500,17,5.12
dep,0.18.3,3,17,0,0,1.0000,0.8500,17,5.12
osloweb3game,0.1.6,3,17,1,1,0.9444,0.8500,18,5.12
cycletls,2.0.5,28,15,0,0,1.0000,0.3488,15,5.10
@progress/kendo-ui,2026.1.415,53,22,0,0,1.0000,0.2933,22,5.08
@layerzerolabs/lz-evm-sdk-v2,3.1.2,7,9,2,0,0.8182,0.5625,11,5.08
@layerzerolabs/lz-evm-sdk-v1,3.1.2,6,9,1,0,0.9000,0.6000,10,5.07
statebus,6.2.3,6,9,0,0,1.0000,0.6000,9,5.07
nlptoolkit-wordnet,1.0.7,6,9,0,0,1.0000,0.6000,9,5.07
@material-symbols-svg/react,0.6.0,3,15,0,0,1.0000,0.8333,15,5.02
german-administrative-areas,1.0.0,5,9,0,0,1.0000,0.6429,9,5.00
jeol-data-test,1.0.0,4,10,0,0,1.0000,0.7143,10,4.99
php-wasm,0.1.0,4,10,0,0,0.0000,0.7143,0,4.99
@ensdomains/ens-contracts,1.7.0,127,39,0,0,1.0000,0.2349,39,4.95
iso3166-2-db,2.3.11,14,10,1,0,0.9091,0.4167,11,4.90
react-grab,0.1.37,35,16,0,0,1.0000,0.3137,16,4.88
@dxos/signal,0.8.3,6,8,0,0,1.0000,0.5714,7,4.83
@celo/celo-devchain,8.0.0,3,12,0,0,1.0000,0.8000,12,4.82
react-native-barcode-builder,2.0.0,5,8,0,0,1.0000,0.6154,8,4.79
@duckdb/duckdb-wasm,1.33.1-dev45.0,108,33,1,0,0.9706,0.2340,34,4.77
devicon,2.17.0,12,9,0,0,1.0000,0.4286,9,4.77
@prisma/sdk,4.0.0,242,60,0,0,1.0000,0.1987,60,4.74
china-division,2.7.0,35,15,1,0,0.9375,0.3000,16,4.67
db-hafas-stations,2.0.0,4,8,0,0,1.0000,0.6667,8,4.66
@stargatefinance/stg-evm-v2,8.0.1,2,85,1,2,0.9884,0.9770,86,4.66
@topichub/core,0.0.29,2,84,0,0,1.0000,0.9767,84,4.66
@kong/spec-renderer,1.107.16,2,70,0,1,1.0000,0.9722,70,4.64
@sencha/eslint-plugin-extjs,8.0.0,3,10,0,0,1.0000,0.7692,10,4.63
nmredata-data-test,1.0.0,3,10,0,0,1.0000,0.7692,10,4.63
@andes/plex,8.0.14,2,60,0,0,1.0000,0.9677,58,4.62
@hippy/chrome-devtools,0.1.2,2,63,0,0,1.0000,0.9692,63,4.62
@morpheme/ui,1.0.1,2,60,0,0,1.0000,0.9677,60,4.62
huge-tree,2.0.2,2,61,1,1,0.9839,0.9683,62,4.62
victory-docs,9.3.1,2,57,0,0,1.0000,0.9661,57,4.61
mbed-cloud-sdk,2.6.10,2,55,0,0,1.0000,0.9649,55,4.60
@dcl/inspector,7.34.3,2,47,0,0,1.0000,0.9592,47,4.58
@connext/smart-contracts,2.4.0,2,48,0,0,1.0000,0.9600,48,4.58
