package,version,fan_in_global,fan_out_global,jt_in_degree,jt_out_degree,jt_instability,global_instability,jt_dependency_score,msr_ecosystem_risk_score
@lifeaitools/clauth,1.5.82,0,9,0,0,1.0000,1.0000,9,0.00
datastake-daf,0.7.145,0,80,0,0,1.0000,1.0000,80,0.00
grab,0.1.37,0,1,0,0,1.0000,1.0000,1,0.00
@cdxgen/cdxgen-plugins-bin-darwin-arm64,2.1.1,0,0,0,0,0.0000,0.0000,0,0.00
heraldvox-cli,1.4.2,0,55,0,0,1.0000,1.0000,55,0.00
@superdoc-dev/cli-windows-x64,0.10.1,0,0,0,0,0.0000,0.0000,0,0.00
yongruizhang-blogimg,1.1.688046430,0,0,0,0,0.0000,0.0000,0,0.00
create-fuels,0.103.0,0,9,0,0,1.0000,1.0000,9,0.00
@screenpipe/cli-darwin-arm64,0.3.336,0,0,0,0,0.0000,0.0000,0,0.00
unicode-7.0.0,0.7.5,17,0,0,0,0.0000,0.0000,0,0.00
@duckmind/dm-linux-x64,0.27.5,0,0,0,0,0.0000,0.0000,0,0.00
@freeclaude/cli,3.4.0,0,77,0,0,1.0000,1.0000,77,0.00
@appthreat/cdxgen-plugins-bin,1.0.0,1,0,0,0,0.0000,0.0000,0,0.00
@duckmind/dm-windows-x64,0.27.5,0,0,0,0,0.0000,0.0000,0,0.00
@duckmind/dm-darwin-arm64,0.27.5,0,0,0,0,0.0000,0.0000,0,0.00
@superdoc-dev/sdk-windows-x64,1.9.1,0,0,0,0,0.0000,0.0000,0,0.00
@duckmind/dm-darwin-x64,0.27.5,0,0,0,0,0.0000,0.0000,0,0.00
@ericsanchezok/synergy-darwin-x64-baseline,2.0.2,0,0,0,0,0.0000,0.0000,0,0.00
@duckmind/dm-linux-arm64,0.27.5,0,0,0,0,0.0000,0.0000,0,0.00
agentwebai,0.6.20,0,10,0,0,1.0000,1.0000,10,0.00
@ericsanchezok/synergy-linux-x64-baseline-musl,2.0.2,0,0,0,0,0.0000,0.0000,0,0.00
@twsxtd/hapi-linux-x64,0.18.1,0,0,0,0,0.0000,0.0000,0,0.00
@ericsanchezok/synergy-linux-x64-musl,2.0.2,0,0,0,0,0.0000,0.0000,0,0.00
@ericsanchezok/synergy-linux-x64-baseline,2.0.2,0,0,0,0,0.0000,0.0000,0,0.00
@ericsanchezok/synergy-linux-x64,2.0.2,0,0,0,0,0.0000,0.0000,0,0.00
@ericsanchezok/synergy-windows-x64-baseline,2.0.2,0,0,0,0,0.0000,0.0000,0,0.00
@lavilas/codex-linux-x64,1.3.71,0,0,0,0,0.0000,0.0000,0,0.00
@bentley/imodeljs-darwin-x64,4.11.39,0,0,0,0,0.0000,0.0000,0,0.00
nosearch-react-component,2.1.111,0,48,0,1,1.0000,1.0000,48,0.00
@ericsanchezok/synergy-windows-x64,2.0.2,0,0,0,0,0.0000,0.0000,0,0.00
rn-app-screen-preview-android,1.0.0,0,5,0,0,1.0000,1.0000,5,0.00
@mmmbuto/codex-cli-termux,0.130.0,0,0,0,0,0.0000,0.0000,0,0.00
@sassoftware/va-report-components,2.34.0,0,27,0,0,1.0000,1.0000,27,0.00
@ericsanchezok/synergy-linux-arm64-musl,2.0.2,0,0,0,0,0.0000,0.0000,0,0.00
@bossmode/cli,0.7.2,0,13,0,0,1.0000,1.0000,13,0.00
@cdktf/aws-cdk,0.16.18,0,30,0,0,1.0000,1.0000,30,0.00
@progress/kendo-cli,1.17.0,0,32,0,0,1.0000,1.0000,32,0.00
@ericsanchezok/synergy-linux-arm64,2.0.2,0,0,0,0,0.0000,0.0000,0,0.00
nodejs-polars-win32-x64-msvc,0.24.1,0,0,0,0,0.0000,0.0000,0,0.00
@toolbox-sdk/server-linux-x64,1.2.0,0,0,0,0,0.0000,0.0000,0,0.00
@ericsanchezok/synergy-darwin-arm64,2.0.2,0,0,0,0,0.0000,0.0000,0,0.00
@ericsanchezok/synergy-darwin-x64,2.0.2,0,0,0,0,0.0000,0.0000,0,0.00
@joystick.js/node-canary,0.0.0-canary.2371,0,36,0,0,1.0000,1.0000,36,0.00
@oomol-lab/oo-cli-win32-arm64,0.5.11,0,0,0,0,0.0000,0.0000,0,0.00
hbuilderx-plugin-launcher,5.7.2026041615-3250-alpha,0,0,0,0,0.0000,0.0000,0,0.00
@oomol-lab/oo-cli-win32-x64,0.5.11,0,0,0,0,0.0000,0.0000,0,0.00
create-expo-cljs-app,1.0.23,0,4,0,0,1.0000,1.0000,4,0.00
@kilocode/cli-linux-arm64-musl,7.3.0,0,0,0,0,0.0000,0.0000,0,0.00
@imgly/background-removal-data,1.4.5,0,1,0,1,1.0000,1.0000,1,0.00
@socialgouv/kali-data,3.449.0,0,29,0,0,1.0000,1.0000,29,0.00
mfpdev-cli,8.0.2022100206,0,68,0,0,1.0000,1.0000,68,0.00
@kilocode/cli-linux-arm64,7.3.0,0,0,0,0,0.0000,0.0000,0,0.00
@material-symbols-svg/vue,0.6.0,0,10,0,0,1.0000,1.0000,10,0.00
@onica/runway,2.6.14,0,3,0,0,1.0000,1.0000,3,0.00
unicode-12.0.0,0.8.0,7,0,0,0,0.0000,0.0000,0,0.00
@vrsen/agentswarm-cli-linux-x64-musl,1.4.34,0,0,0,0,0.0000,0.0000,0,0.00
@db-ux/db-theme-icons,3.9.0,3,0,0,0,0.0000,0.0000,0,0.00
@mndrk/agx,2.4.11,0,21,0,0,1.0000,1.0000,21,0.00
openui5-dist,1.108.10,0,10,0,0,1.0000,1.0000,10,0.00
@vrsen/agentswarm-cli-windows-x64,1.4.34,0,0,0,0,0.0000,0.0000,0,0.00
react-native-filament-buildcores,1.7.11,0,14,0,0,1.0000,1.0000,14,0.00
@vrsen/agentswarm-cli-linux-x64,1.4.34,0,0,0,0,0.0000,0.0000,0,0.00
zraldcli-darwin-arm64,2.0.74,0,0,0,0,0.0000,0.0000,0,0.00
@vrsen/agentswarm-cli-linux-x64-baseline,1.4.34,0,0,0,0,0.0000,0.0000,0,0.00
unicode-13.0.0,0.8.0,13,0,0,0,0.0000,0.0000,0,0.00
riskjs,0.0.7,0,5,0,0,1.0000,1.0000,5,0.00
openclaw-cojad,2605.19.1300,0,75,0,0,1.0000,1.0000,73,0.00
@vrsen/agentswarm-cli-windows-arm64,1.4.34,0,0,0,0,0.0000,0.0000,0,0.00
@vrsen/agentswarm-cli-windows-x64-baseline,1.4.34,0,0,0,0,0.0000,0.0000,0,0.00
hqchart,1.1.15808,0,2,0,0,1.0000,1.0000,2,0.00
@kilocode/cli-darwin-x64,7.3.0,0,0,0,0,0.0000,0.0000,0,0.00
foxfire,2.0.0,0,9,0,0,1.0000,1.0000,9,0.00
@postman/pm-bin-windows-x64,1.37.0,0,0,0,0,0.0000,0.0000,0,0.00
@builder.io/buildercode-darwin-arm64,0.5.1,0,0,0,0,0.0000,0.0000,0,0.00
@kilocode/cli-darwin-x64-baseline,7.3.0,0,0,0,0,0.0000,0.0000,0,0.00
@vrsen/agentswarm-cli-linux-x64-baseline-musl,1.4.34,0,0,0,0,0.0000,0.0000,0,0.00
@factory/cli-win32-x64,0.129.0,0,0,0,0,0.0000,0.0000,0,0.00
@builder.io/buildercode-win32-x64,0.5.1,0,0,0,0,0.0000,0.0000,0,0.00
archgate-win32-x64,0.26.0,0,0,0,0,0.0000,0.0000,0,0.00
newawesome,2.2.2,0,27,0,0,1.0000,1.0000,27,0.00
@socialgouv/fiches-vdd,2.1738.0,0,10,0,0,1.0000,1.0000,10,0.00
@vrsen/agentswarm-cli-darwin-x64-baseline,1.4.34,0,0,0,0,0.0000,0.0000,0,0.00
@joggr/cli-linux-x64-musl,0.14.3,0,0,0,0,0.0000,0.0000,0,0.00
@vkhanhqui/figma-mcp-go,0.1.3,0,0,0,0,0.0000,0.0000,0,0.00
@factory/cli-win32-x64-baseline,0.129.0,0,0,0,0,0.0000,0.0000,0,0.00
@celo/client,0.0.419,1,0,0,0,0.0000,0.0000,0,0.00
@vrsen/agentswarm-cli-linux-arm64,1.4.34,0,0,0,0,0.0000,0.0000,0,0.00
@vrsen/agentswarm-cli-darwin-x64,1.4.34,0,0,0,0,0.0000,0.0000,0,0.00
@codemod.com/cli-darwin-arm64,1.10.5,0,0,0,0,0.0000,0.0000,0,0.00
react-native-notch-info,1.0.6,0,1,0,0,1.0000,1.0000,1,0.00
codeep,2.0.1,0,10,0,0,1.0000,1.0000,10,0.00
@builder.io/buildercode-linux-x64,0.5.1,0,0,0,0,0.0000,0.0000,0,0.00
@dotcms/dotcli,26.5.14-1,0,0,0,0,0.0000,0.0000,0,0.00
@vrsen/agentswarm-cli-linux-arm64-musl,1.4.34,0,0,0,0,0.0000,0.0000,0,0.00
@dcl/unity-renderer,1.0.73994-20230125161151.commit-2e4047d,12,0,1,0,0.0000,0.0000,1,0.00
@vrsen/agentswarm-cli-darwin-arm64,1.4.34,0,0,0,0,0.0000,0.0000,0,0.00
react-native-skia-graphite-apple-macos,147.1.1,0,0,0,0,0.0000,0.0000,0,0.00
react-native-fatos-sdk,2.6.4,0,0,0,0,0.0000,0.0000,0,0.00
@joggr/cli-linux-x64,0.14.3,0,0,0,0,0.0000,0.0000,0,0.00
@humanlayer/cli-win32-x64,0.17.0,0,0,0,0,0.0000,0.0000,0,0.00
opengate-js,15.3.0,0,45,0,0,1.0000,1.0000,45,0.00
react-native-skia-graphite-apple-ios,147.1.1,0,0,0,0,0.0000,0.0000,0,0.00
windowpp,1.0.2,0,1,0,0,1.0000,1.0000,1,0.00
react-native-skia-graphite-android,147.1.1,0,0,0,0,0.0000,0.0000,0,0.00
@multiplayer-app/cli-linux-x64,2.0.78,0,0,0,0,0.0000,0.0000,0,0.00
@blaze-money/kindling,1.1.13,0,12,0,0,1.0000,1.0000,12,0.00
@joggr/cli-darwin-arm64,0.14.3,0,0,0,0,0.0000,0.0000,0,0.00
@bulletproof-sh/ctrl-daemon-windows-x64,0.19.0,0,0,0,0,0.0000,0.0000,0,0.00
@qqbrowser/openclaw-qbot,0.11.60,0,92,0,0,1.0000,1.0000,92,0.00
@chillicream/nitro,16.0.3,0,3,0,0,1.0000,1.0000,3,0.00
@thebushidocollective/han-linux-x64,3.18.0,0,0,0,0,0.0000,0.0000,0,0.00
@cypress-bin/binary-win32-x64,14.1.0,0,0,0,0,0.0000,0.0000,0,0.00
@babylonjs/react-native-windows-0-64,1.8.6,0,18,0,0,1.0000,1.0000,18,0.00
makecoder-codex-win32-x64,4.0.37,0,0,0,0,0.0000,0.0000,0,0.00
space-data-server,23.3.3-0.1.2-1.40.2,0,84,0,0,1.0000,1.0000,84,0.00
@agents-shire/cli-linux-x64,1.0.47,0,0,0,0,0.0000,0.0000,0,0.00
smart-webcomponents,26.0.0,9,0,1,0,0.0000,0.0000,1,0.00
cldpre,2.9.0,0,7,0,0,1.0000,1.0000,7,0.00
rn-card-scanner,1.1.2,0,19,0,1,1.0000,1.0000,19,0.00
zraldcli-darwin-x64-baseline,2.0.74,0,0,0,0,0.0000,0.0000,0,0.00
@cyclonedx/cdxgen-plugins-bin-windows-amd64,1.8.0,0,0,0,0,0.0000,0.0000,0,0.00
coderider-linux-x64,1.1.0,0,0,0,0,0.0000,0.0000,0,0.00
makecoder-codex-linux-x64,4.0.37,0,0,0,0,0.0000,0.0000,0,0.00
react-native-kochava-measurement,4.0.1,0,22,0,1,1.0000,1.0000,22,0.00
zraldcli-linux-x64-musl,2.0.74,0,0,0,0,0.0000,0.0000,0,0.00
@joggr/cli-darwin-x64,0.14.3,0,0,0,0,0.0000,0.0000,0,0.00
makecoder-codex-darwin-arm64,4.0.37,0,0,0,0,0.0000,0.0000,0,0.00
coderider-linux-x64-baseline-musl,1.1.0,0,0,0,0,0.0000,0.0000,0,0.00
coderider-linux-x64-musl,1.1.0,0,0,0,0,0.0000,0.0000,0,0.00
coderider-linux-x64-baseline,1.1.0,0,0,0,0,0.0000,0.0000,0,0.00
@cypress-bin/binary-linux-x64,14.5.4,1,0,0,0,0.0000,0.0000,0,0.00
@eclipse-docks/extension-cereusdb,0.7.108,0,11,0,0,1.0000,1.0000,11,0.00
coderider-windows-x64,1.1.0,0,0,0,0,0.0000,0.0000,0,0.00
zraldcli-linux-x64-baseline,2.0.74,0,0,0,0,0.0000,0.0000,0,0.00
zraldcli-darwin-x64,2.0.74,0,0,0,0,0.0000,0.0000,0,0.00
@sd-angular/core,1.3.259,0,31,0,0,1.0000,1.0000,31,0.00
@soundscript/cli-linux-x64,0.1.44,0,0,0,0,0.0000,0.0000,0,0.00
@ribeec20/clawify,0.2.7,0,92,0,0,1.0000,1.0000,92,0.00
@kyburz/kdesign-system,0.6.52,0,109,0,0,1.0000,1.0000,109,0.00
@cdktn/provider-google,19.1.0,0,18,0,0,1.0000,1.0000,18,0.00
ralphy-cli,4.7.2,0,11,0,0,1.0000,1.0000,11,0.00
@joggr/cli-windows-x64,0.14.3,0,0,0,0,0.0000,0.0000,0,0.00
coderider-linux-arm64,1.1.0,0,0,0,0,0.0000,0.0000,0,0.00
infiniloom-node,0.7.0,0,3,0,0,1.0000,1.0000,3,0.00
zraldcli-windows-x64-baseline,2.0.74,0,0,0,0,0.0000,0.0000,0,0.00
@medusajs/email-preview-server,0.0.10,0,74,0,1,1.0000,1.0000,74,0.00
coderider-windows-x64-baseline,1.1.0,0,0,0,0,0.0000,0.0000,0,0.00
esy,0.9.2,7,0,0,0,0.0000,0.0000,0,0.00
construct-hub,0.4.494,0,76,0,0,1.0000,1.0000,76,0.00
world-geojson,3.4.0,0,5,0,0,1.0000,1.0000,5,0.00
@kilocode/cli-windows-arm64,7.3.0,0,0,0,0,0.0000,0.0000,0,0.00
zraldcli-linux-x64,2.0.74,0,0,0,0,0.0000,0.0000,0,0.00
@scratch/scratch-gui,13.7.1,0,113,0,1,1.0000,1.0000,113,0.00
@vexp/plugin-cuda-win32-x64,2.0.17,0,0,0,0,0.0000,0.0000,0,0.00
@simonyea/holysheep-cli,2.1.78,0,6,0,0,1.0000,1.0000,6,0.00
@dianshuv/hapi-linux-arm64,0.24.3,0,0,0,0,0.0000,0.0000,0,0.00
@joggr/cli-linux-arm64,0.14.3,0,0,0,0,0.0000,0.0000,0,0.00
@adobe/coral-spectrum,4.21.12,0,85,0,0,1.0000,1.0000,85,0.00
nxd-plugin,1.5.5,0,19,0,0,1.0000,1.0000,25,0.00
@multiplayer-app/cli-darwin-x64,2.0.78,0,0,0,0,0.0000,0.0000,0,0.00
codebolt,1.12.56,0,105,0,1,1.0000,1.0000,104,0.00
@cdktn/provider-google-beta,19.1.0,0,18,0,0,1.0000,1.0000,18,0.00
serverless-offline-msk,1.0.0,0,13,0,0,1.0000,1.0000,13,0.00
coderider-linux-arm64-musl,1.1.0,0,0,0,0,0.0000,0.0000,0,0.00
ng2-arv-lib,0.2.1,0,1,0,0,1.0000,1.0000,1,0.00
@jhl_labs/jvim-linux-x64,0.5.2,0,0,0,0,0.0000,0.0000,0,0.00
coderider-windows-arm64,1.1.0,0,0,0,0,0.0000,0.0000,0,0.00
qq-chat-api-desktop-win-x64,1.1.12,0,0,0,0,0.0000,0.0000,0,0.00
nori-ai-cli,0.22.0,0,0,0,0,0.0000,0.0000,0,0.00
iobroker.vis-2,2.13.19,0,23,0,0,1.0000,1.0000,23,0.00
@cubic-dev-ai/cli-linux-arm64,1.6.0,0,0,0,0,0.0000,0.0000,0,0.00
gfaas,1.1.18,0,28,0,0,1.0000,1.0000,28,0.00
@multiplayer-app/cli-windows-arm64,2.0.78,0,0,0,0,0.0000,0.0000,0,0.00
@azure/mcp-darwin-x64,3.0.0-beta.10,1,0,0,0,0.0000,0.0000,0,0.00
zraldcli-linux-arm64-musl,2.0.74,0,0,0,0,0.0000,0.0000,0,0.00
zraldcli-windows-x64,2.0.74,0,0,0,0,0.0000,0.0000,0,0.00
@factory/cli-linux-arm64,0.129.0,0,0,0,0,0.0000,0.0000,0,0.00
turtlecoin-cryptonote-util,0.0.8,0,10,0,0,1.0000,1.0000,10,0.00
@agents-shire/cli-win32-x64,1.0.47,0,0,0,0,0.0000,0.0000,0,0.00
@soundscript/cli-linux-arm64,0.1.44,0,0,0,0,0.0000,0.0000,0,0.00
@cyclonedx/cdxgen-plugins-bin-darwin-arm64,1.8.0,0,0,0,0,0.0000,0.0000,0,0.00
@g-bits/driver_redhat_x64,1.38.251102,0,0,0,0,0.0000,0.0000,0,0.00
@soundscript/cli-win32-x64,0.1.44,0,0,0,0,0.0000,0.0000,0,0.00
@fugood/node-whisper-linux-x64-cuda,1.0.19,0,0,0,0,0.0000,0.0000,0,0.00
@soundscript/cli-darwin-arm64,0.1.44,0,0,0,0,0.0000,0.0000,0,0.00
@multiplayer-app/cli-windows-x64,2.0.78,0,0,0,0,0.0000,0.0000,0,0.00
@agents-shire/cli-linux-arm64,1.0.47,0,0,0,0,0.0000,0.0000,0,0.00
@memvid/cli-linux-x64,2.0.159,0,0,0,0,0.0000,0.0000,0,0.00
zraldcli-linux-x64-baseline-musl,2.0.74,0,0,0,0,0.0000,0.0000,0,0.00
bs-ajv,1.0.1,0,5,0,1,1.0000,1.0000,5,0.00
@multiplayer-app/cli-linux-arm64,2.0.78,0,0,0,0,0.0000,0.0000,0,0.00
@cubic-dev-ai/cli-linux-arm64-musl,1.6.0,0,0,0,0,0.0000,0.0000,0,0.00
zraldcli-linux-arm64,2.0.74,0,0,0,0,0.0000,0.0000,0,0.00
@clicli/app,4.1.8,0,0,0,0,0.0000,0.0000,0,0.00
@microsoft/dataverse,1.0.34,0,0,0,0,0.0000,0.0000,0,0.00
node-linux-ppc64le,22.22.3,0,0,0,0,0.0000,0.0000,0,0.00
@aptos-scp/scp-component-rn-device-services,4.46.0,0,83,0,0,1.0000,1.0000,83,0.00
@soundscript/cli-darwin-x64,0.1.44,0,0,0,0,0.0000,0.0000,0,0.00
@toothfairyai/tfcode-linux-arm64-musl,1.0.44,0,0,0,0,0.0000,0.0000,0,0.00
@geminilight/mindos,1.0.10,0,11,0,0,1.0000,1.0000,11,0.00
@skyforgeai/skyforge-linux-x64,3.2.9,0,0,0,0,0.0000,0.0000,0,0.00
@legna-lnc/legnacode-linux-x64,2.1.2,0,0,0,0,0.0000,0.0000,0,0.00
automagik-genie,2.5.27,0,20,0,1,1.0000,1.0000,20,0.00
codegenie-windows-x64,0.0.6,0,0,0,0,0.0000,0.0000,0,0.00
mp-design-system,2.1.51,0,9,0,0,1.0000,1.0000,9,0.00
@grappa-xyz/sdk-js,0.4.37,0,27,0,0,1.0000,1.0000,27,0.00
@dianshuv/hapi-win32-x64,0.24.3,0,0,0,0,0.0000,0.0000,0,0.00
@sap/open.fe,1.147.0,0,0,0,0,0.0000,0.0000,0,0.00
@contextzero/nest-linux-x64,0.2.75,0,1,0,0,1.0000,1.0000,1,0.00
hunkdiff-linux-x64,0.13.0,0,0,0,0,0.0000,0.0000,0,0.00
product-lixian,0.0.4-46,0,63,0,0,1.0000,1.0000,63,0.00
quasar-extras-svg-icons,2.2.0,0,54,0,0,1.0000,1.0000,54,0.00
@toothfairyai/tfcode-linux-x64-musl,1.0.44,0,0,0,0,0.0000,0.0000,0,0.00
@memory.build/cli-windows-x64,0.2.6,0,0,0,0,0.0000,0.0000,0,0.00
@govtechsg/open-attestation-cli,2.11.1,0,58,0,1,1.0000,1.0000,58,0.00
royco,0.10.244,0,28,0,0,1.0000,1.0000,28,0.00
@skyforgeai/skyforge-darwin-x64,3.2.9,0,0,0,0,0.0000,0.0000,0,0.00
@codemod.com/cli-win32-x64-msvc,1.10.5,0,0,0,0,0.0000,0.0000,0,0.00
lightfold,1.0.3,0,9,0,0,1.0000,1.0000,9,0.00
@kontur.candy/engine,6.20.0,0,0,0,0,0.0000,0.0000,0,0.00
lemonsiren,1.1.0,0,0,0,0,0.0000,0.0000,0,0.00
@dianshuv/hapi-linux-x64,0.24.3,0,0,0,0,0.0000,0.0000,0,0.00
routiform,3.27.2,0,64,0,1,1.0000,1.0000,64,0.00
@skyforgeai/skyforge-windows-x64,3.2.9,0,0,0,0,0.0000,0.0000,0,0.00
@contextzero/nest-win32-x64,0.2.75,0,1,0,0,1.0000,1.0000,1,0.00
forgecode,2.12.15,0,2,0,0,1.0000,1.0000,2,0.00
@granite-js/devtools-frontend,0.1.34,0,2,0,0,1.0000,1.0000,2,0.00
@tomashighres/gamma,0.57.17,0,0,0,0,0.0000,0.0000,0,0.00
@skyforgeai/skyforge-darwin-arm64,3.2.9,0,0,0,0,0.0000,0.0000,0,0.00
@pact-foundation/pact-standalone,3.7.0,0,7,0,0,1.0000,1.0000,7,0.00
aspose.cells.node.darwin.arm64,26.5.0,0,0,0,0,0.0000,0.0000,0,0.00
@toothfairyai/tfcode-linux-x64-baseline-musl,1.0.44,0,0,0,0,0.0000,0.0000,0,0.00
app-ui-tauros,0.13.3,0,41,0,0,1.0000,1.0000,41,0.00
@matrix-ai/oh-my-matrix-windows-x64-baseline,3.16.12,0,0,0,0,0.0000,0.0000,0,0.00
@agenticmail/enterprise,0.5.600,0,32,0,0,1.0000,1.0000,32,0.00
@finbourne/lusid-preview,2.0.1533,0,9,0,0,1.0000,1.0000,9,0.00
design-comuni-plone-theme,12.12.2,0,73,0,0,1.0000,1.0000,73,0.00
@toothfairyai/tfcode-darwin-x64-baseline,1.0.44,0,0,0,0,0.0000,0.0000,0,0.00
@matrix-ai/oh-my-matrix-windows-x64,3.16.12,0,0,0,0,0.0000,0.0000,0,0.00
@cdxgen/cdxgen-plugins-bin-windows-arm64,2.1.1,0,0,0,0,0.0000,0.0000,0,0.00
@legna-lnc/legnacode-linux-arm64,2.1.2,0,0,0,0,0.0000,0.0000,0,0.00
@babylonjs/react-native-windows-0-69,1.8.6,0,18,0,0,1.0000,1.0000,18,0.00
@skyforgeai/skyforge-linux-arm64,3.2.9,0,0,0,0,0.0000,0.0000,0,0.00
aws-analytics-reference-architecture,2.12.13,0,45,0,0,1.0000,1.0000,43,0.00
@factory/cli-darwin-x64-baseline,0.129.0,0,0,0,0,0.0000,0.0000,0,0.00
local-saml-idp,1.0.4,0,9,0,0,1.0000,1.0000,9,0.00
@aiot-toolkit/velasim,0.1.26,1,0,0,0,0.0000,0.0000,0,0.00
facepass-react-native-module,0.1.46,0,21,0,1,1.0000,1.0000,21,0.00
@traces-sh/traces-linux-x64,0.5.8,0,0,0,0,0.0000,0.0000,0,0.00
@alumnium/cli-windows-x64,0.20.0,0,0,0,0,0.0000,0.0000,0,0.00
noto-fontface-cjk-jp,1.0.2,0,0,0,0,0.0000,0.0000,0,0.00
@ironsoftware/ironpdf-engine-windows-x64,2026.5.1,0,1,0,0,1.0000,1.0000,1,0.00
anycloud,0.1.13,0,70,0,1,1.0000,1.0000,70,0.00
@hippox/codegenie-win32-x64,3.61.26,0,0,0,0,0.0000,0.0000,0,0.00
cdk-cr-constructs,2.1.679,0,27,0,0,1.0000,1.0000,27,0.00
@factory/cli-darwin-x64,0.129.0,0,0,0,0,0.0000,0.0000,0,0.00
@zweicli/linux-x64,1.1.8,0,0,0,0,0.0000,0.0000,0,0.00
@embedder/embedder-linux-x64,0.3.110,0,0,0,0,0.0000,0.0000,0,0.00
react-native-sia,0.13.22,0,20,0,0,1.0000,1.0000,20,0.00
@bethinkpl/design-system,35.2.2,0,72,0,0,1.0000,1.0000,72,0.00
grok-dev,1.1.7,0,30,0,0,1.0000,1.0000,30,0.00
@legna-lnc/legnacode-win32-ia32,2.1.2,0,0,0,0,0.0000,0.0000,0,0.00
@toothfairyai/tfcode-linux-arm64,1.0.44,0,0,0,0,0.0000,0.0000,0,0.00
hbuilderx-plugin-uniapp-runextension,1.0.3-2026041615.3459,0,0,0,0,0.0000,0.0000,0,0.00
@sylphai/adal-cli-linux-x64,1.1.4,0,0,0,0,0.0000,0.0000,0,0.00
node-linux-armv7l,22.22.3,0,0,0,0,0.0000,0.0000,0,0.00
@sylphai/adal-cli-win32-x64,1.1.4,0,0,0,0,0.0000,0.0000,0,0.00
@legna-lnc/legnacode-win32-x64,2.1.2,0,0,0,0,0.0000,0.0000,0,0.00
galx-storage,1.1.689824493,0,0,0,0,0.0000,0.0000,0,0.00
@cdxgen/cdxgen-plugins-bin-darwin-amd64,2.1.1,0,0,0,0,0.0000,0.0000,0,0.00
dynamock,2.1.1,0,15,0,0,1.0000,1.0000,15,0.00
mac-hbuilderx-plugin-launcher,3.5.5-2022082514-alpha,0,0,0,0,0.0000,0.0000,0,0.00
btca,2.0.5,0,22,0,0,1.0000,1.0000,22,0.00
@d3k/linux-x64,0.0.175,0,0,0,0,0.0000,0.0000,0,0.00
@alumnium/cli-windows-arm64,0.20.0,0,0,0,0,0.0000,0.0000,0,0.00
@rajkoli145/friday,2026.4.21,0,93,0,0,1.0000,1.0000,93,0.00
wuic-framework-lib,1.1.0,0,3,0,0,1.0000,1.0000,3,0.00
@pickup-cli/win32-x64,0.2.1,0,0,0,0,0.0000,0.0000,0,0.00
@toothfairyai/tfcode-windows-x64-baseline,1.0.44,0,0,0,0,0.0000,0.0000,0,0.00
@sylphai/adal-cli-darwin-arm64,1.1.4,0,0,0,0,0.0000,0.0000,0,0.00
@antinomyhq/forge,2.12.15,0,0,0,0,0.0000,0.0000,0,0.00
react-native-vosk,2.1.7,0,27,0,1,1.0000,1.0000,27,0.00
wp-studio,1.9.0,0,42,0,0,1.0000,1.0000,42,0.00
ghost-architect-open,6.0.0,0,18,0,0,1.0000,1.0000,18,0.00
syncfusion-javascript,20.4.38,0,4,0,0,1.0000,1.0000,4,0.00
@toothfairyai/tfcode-linux-x64,1.0.44,0,0,0,0,0.0000,0.0000,0,0.00
@c4a/server-cli,0.5.33-alpha.4,0,16,0,0,1.0000,1.0000,16,0.00
@involvex/youtube-music-cli,0.0.77,0,41,0,0,1.0000,1.0000,41,0.00
@cyclonedx/cdxgen-plugins-bin-darwin-amd64,1.8.0,0,0,0,0,0.0000,0.0000,0,0.00
@mb-it-org/cli,0.1.45,0,10,0,0,1.0000,1.0000,10,0.00
goatchain-cli-windows-x64,0.0.72,0,0,0,0,0.0000,0.0000,0,0.00
@toothfairyai/tfcode-windows-x64,1.0.44,0,0,0,0,0.0000,0.0000,0,0.00
@aerisweather/react-mapsgl,0.1.2,0,28,0,0,1.0000,1.0000,28,0.00
hunkdiff-linux-arm64,0.13.0,0,0,0,0,0.0000,0.0000,0,0.00
@synsci/cli2-linux-x64,1.0.9,0,0,0,0,0.0000,0.0000,0,0.00
quantumic-design,1.8.0,0,72,0,0,1.0000,1.0000,71,0.00
@tursodatabase/sync-react-native,0.6.0,0,8,0,0,1.0000,1.0000,8,0.00
retypeapp-linux-x64,4.5.3,1,0,0,0,0.0000,0.0000,0,0.00
@zigc/lib,0.16.0,1,0,0,0,0.0000,0.0000,0,0.00
@synsci/cli2-linux-x64-musl,1.0.9,0,0,0,0,0.0000,0.0000,0,0.00
goatchain-cli-linux-x64,0.0.72,0,0,0,0,0.0000,0.0000,0,0.00
@synsci/cli2-linux-x64-baseline-musl,1.0.9,0,0,0,0,0.0000,0.0000,0,0.00
kifaru-linux-x64-baseline,1.0.112,0,0,0,0,0.0000,0.0000,0,0.00
@zweicli/windows-x64,1.1.8,0,0,0,0,0.0000,0.0000,0,0.00
kifaru-darwin-arm64,1.0.112,0,0,0,0,0.0000,0.0000,0,0.00
numasec-linux-x64-musl,1.2.1,0,0,0,0,0.0000,0.0000,0,0.00
goatchain-cli-linux-arm64,0.0.72,0,0,0,0,0.0000,0.0000,0,0.00
@browserless.io/browserless,2.49.0,0,47,0,0,1.0000,1.0000,47,0.00
@synsci/cli2-linux-x64-baseline,1.0.9,0,0,0,0,0.0000,0.0000,0,0.00
numasec-linux-x64,1.2.1,0,0,0,0,0.0000,0.0000,0,0.00
@lavilas/codex-win32-x64,1.3.68,0,0,0,0,0.0000,0.0000,0,0.00
