package,avg_dependency_centrality,avg_lines_per_file,avg_function_length,avg_parameters_per_func
oh-my-openagent-windows-x64,0.0000,0.0000,0.0000,0.0000
oh-my-openagent-windows-x64-baseline,0.0000,0.0000,0.0000,0.0000
@anthropic-ai/claude-code-darwin-x64,0.0000,0.0000,0.0000,0.0000
cldr,0.0204,99.5510,58.4615,1.2308
@pnpm/linux-arm64,0.0000,0.0000,0.0000,0.0000
google-closure-compiler-osx,0.0000,17.0000,0.0000,0.0000
oh-my-opencode-linux-x64,0.0000,0.0000,0.0000,0.0000
@shabados/database,0.0556,50.4000,10.7000,1.3000
@tabler/icons-webfont,0.0000,0.0000,0.0000,0.0000
@deno/linux-x64-glibc,0.0000,0.0000,0.0000,0.0000
@aztec/bb.js,0.0015,94.8231,10.7974,1.0294
@cdktf/provider-azurerm,0.0003,509.5206,21.1467,1.0000
@imgly/background-removal-node,0.0000,98.0000,16.5000,2.0833
@bitgo-forks/cryptocurrency-icons,0.0000,5.5152,2.5068,1.0009
@github/copilot-linux-arm64,0.0000,0.0000,0.0000,0.0000
botframework-webchat,0.0040,42.4983,2.2016,1.2685
@lenml/tokenizer-gemma3,0.0714,424.2000,1.1714,1.2000
@cyclonedx/cdxgen-plugins-bin-linux-amd64,0.0000,1.0000,0.0000,0.0000
@restatedev/restate-server-linux-x64,0.0000,0.0000,0.0000,0.0000
@restatedev/restate-linux-x64,0.0000,0.0000,0.0000,0.0000
dwt,0.0000,459.6364,1.0801,1.5258
@buildonspark/spark-sdk,0.0006,1035.4223,11.8862,0.8761
@atlaspack/rust,0.0714,397.0000,14.0000,0.0000
@wppconnect/wa-version,0.0397,51.5357,9.4717,0.9811
@xmtp/node-bindings,0.0972,733.0000,85.0000,0.1667
@livestore/common-cf,0.0010,8125.5530,14.0813,1.5826
aerospike,0.0078,231.0093,11.8083,1.6556
openapi-directory,0.0455,55.0000,4.5714,1.2857
gdal-async,0.0047,127.1027,12.1368,1.6611
@pnpm/macos-arm64,0.0000,0.0000,0.0000,0.0000
electron-apps,0.0246,89.7241,21.9583,1.3750
@aztec/l1-artifacts,0.0000,1379.5355,11.2308,1.3077
rocksdb-native,0.2222,129.3333,3.8750,1.1250
@mchp-mcc/pic-16bit,0.0000,0.0000,0.0000,0.0000
@elasticprojects/abstract-cli,0.1667,153.0000,14.7500,0.2500
@codemod.com/cli-linux-x64-gnu,0.0000,0.0000,0.0000,0.0000
@central-icons-react/all,0.0476,1433.4286,4.9000,1.9000
nw-gyp,0.0199,151.3478,47.3226,1.5323
@matbee/libreoffice-converter,0.0024,2143.4286,4.1051,1.8071
react-fluentui-emoji,0.0001,4.0772,1.0000,0.0000
iso3166-2-db,0.0699,40.2143,8.6452,1.1935
@antimatterhq/antimatter,0.0155,114.6102,34.7255,1.0490
@factory/cli-linux-x64,0.0000,0.0000,0.0000,0.0000
@gitbook/fontawesome-pro,0.0000,4.0000,0.0000,0.0000
doc999tor-fast-geoip,0.1667,47.2500,14.8000,1.6000
@factory/cli-linux-x64-baseline,0.0000,0.0000,0.0000,0.0000
@github/copilot-darwin-x64,0.0000,0.0000,0.0000,0.0000
gm-kilo,0.0000,78.0000,24.3333,0.0000
stockfish,0.0278,30.7500,1.3308,2.3445
node-bin-darwin-arm64,0.0000,0.0000,0.0000,0.0000
@zed-industries/codex-acp-darwin-x64,0.0000,0.0000,0.0000,0.0000
@microsoft/workiq,0.5000,52.5000,15.4000,0.2000
react-native-signature-capture,0.0227,33.4000,19.5000,0.5000
gm-codex,0.0375,195.5625,17.1647,1.4059
prismarine-viewer,0.0120,70.7414,4.7110,1.9037
@kilocode/cli-windows-x64,0.0000,0.0000,0.0000,0.0000
@kilocode/cli-windows-x64-baseline,0.0000,0.0000,0.0000,0.0000
@rivetkit/engine-cli-darwin-x64,0.0000,0.0000,0.0000,0.0000
gm-cc,0.0000,93.0000,30.0000,0.0000
gm-qwen,0.0495,206.4286,17.7114,1.4362
@expo/swiftlint,0.0000,20.0000,0.0000,0.0000
@rivetkit/engine-cli-darwin-arm64,0.0000,0.0000,0.0000,0.0000
go-ios,0.0000,128.5000,21.5556,0.7778
@rivetkit/engine-cli-linux-x64-musl,0.0000,0.0000,0.0000,0.0000
@mchp-mcc/pic-8bit,0.0000,0.0000,0.0000,0.0000
kuzu,0.0141,146.4902,19.4545,1.0000
@rivetkit/engine-cli-linux-arm64-musl,0.0000,0.0000,0.0000,0.0000
