package,avg_dependency_centrality,avg_lines_per_file,avg_function_length,avg_parameters_per_func
cldpre,0.1000,95.0000,16.6000,0.3000
@hugeicons/react-pro,0.0008,14.9868,2.0000,1.0000
rn-card-scanner,0.0000,90.0000,19.2000,1.1000
rhachet,0.0016,38.3807,27.7335,1.0895
zraldcli-darwin-x64-baseline,0.0000,0.0000,0.0000,0.0000
@cyclonedx/cdxgen-plugins-bin-windows-amd64,0.0000,7.0000,0.0000,0.0000
@qvac/ocr-onnx,0.1389,80.6250,3.4500,1.0500
coderider-linux-x64,0.0000,0.0000,0.0000,0.0000
makecoder-codex-linux-x64,0.0000,0.0000,0.0000,0.0000
react-native-kochava-measurement,0.0132,90.5347,15.5046,1.1296
zraldcli-linux-x64-musl,0.0000,0.0000,0.0000,0.0000
@joggr/cli-darwin-x64,0.0000,0.0000,0.0000,0.0000
makecoder-codex-darwin-arm64,0.0000,0.0000,0.0000,0.0000
coderider-linux-x64-baseline-musl,0.0000,0.0000,0.0000,0.0000
coderider-linux-x64-musl,0.0000,0.0000,0.0000,0.0000
coderider-linux-x64-baseline,0.0000,0.0000,0.0000,0.0000
@cypress-bin/binary-linux-x64,0.0000,0.0000,0.0000,0.0000
@eclipse-docks/extension-cereusdb,0.0033,27.2353,11.7500,1.3333
coderider-windows-x64,0.0000,0.0000,0.0000,0.0000
zraldcli-linux-x64-baseline,0.0000,0.0000,0.0000,0.0000
zraldcli-darwin-x64,0.0000,0.0000,0.0000,0.0000
@soundscript/cli-linux-x64,0.0000,478.3264,0.0000,0.0000
obs-studio-node,0.0667,261.4444,6.5926,1.0741
ralphy-cli,0.0000,86.0000,29.6667,0.3333
@joggr/cli-windows-x64,0.0000,0.0000,0.0000,0.0000
coderider-linux-arm64,0.0000,0.0000,0.0000,0.0000
infiniloom-node,0.0952,519.6667,5.3500,0.9500
zraldcli-windows-x64-baseline,0.0000,0.0000,0.0000,0.0000
coderider-windows-x64-baseline,0.0000,0.0000,0.0000,0.0000
@qvac/transcription-parakeet,0.1072,168.8571,8.3333,1.6667
world-geojson,0.0000,118.0000,10.5714,1.2857
@kilocode/cli-windows-arm64,0.0000,0.0000,0.0000,0.0000
zraldcli-linux-x64,0.0000,0.0000,0.0000,0.0000
@office-iss/rex-win32,0.5000,191.5000,175.0000,1.0000
@scratch/scratch-gui,0.0007,84.0971,2.4151,1.6160
@vexp/plugin-cuda-win32-x64,0.0000,0.0000,0.0000,0.0000
@simonyea/holysheep-cli,0.0000,8479.0000,20.7277,1.1864
@dianshuv/hapi-linux-arm64,0.0000,0.0000,0.0000,0.0000
@joggr/cli-linux-arm64,0.0000,0.0000,0.0000,0.0000
@adobe/coral-spectrum,0.0048,500.4466,21.4300,1.3763
nxd-plugin,0.0000,4688.8261,0.0000,0.0000
@multiplayer-app/cli-darwin-x64,0.0000,0.0000,0.0000,0.0000
coderider-linux-arm64-musl,0.0000,0.0000,0.0000,0.0000
storyly-react-native,0.0893,353.8571,15.4000,1.2000
ng2-arv-lib,0.0139,254.0000,3.8095,0.6468
@kaoto/camel-catalog,0.0000,3886.1250,0.0000,0.0000
@jhl_labs/jvim-linux-x64,0.0000,0.0000,0.0000,0.0000
coderider-windows-arm64,0.0000,0.0000,0.0000,0.0000
nori-ai-cli,0.5000,82.5000,20.5000,1.0000
@upscalerjs/esrgan-thick,0.0088,19.6964,21.4615,1.1154
@cubic-dev-ai/cli-linux-arm64,0.0000,0.0000,0.0000,0.0000
gfaas,0.0154,60.6889,5.6346,1.5192
@multiplayer-app/cli-windows-arm64,0.0000,0.0000,0.0000,0.0000
@azure/mcp-darwin-x64,0.5000,65.0000,24.0000,1.0000
cloud-ui.vusion,0.0005,42.9878,1.3562,1.4961
zraldcli-linux-arm64-musl,0.0000,0.0000,0.0000,0.0000
zraldcli-windows-x64,0.0000,0.0000,0.0000,0.0000
@factory/cli-linux-arm64,0.0000,0.0000,0.0000,0.0000
turtlecoin-cryptonote-util,0.0500,83.6000,2.0313,0.9375
@agents-shire/cli-win32-x64,0.0000,0.0000,0.0000,0.0000
@soundscript/cli-linux-arm64,0.0000,478.3264,0.0000,0.0000
@cyclonedx/cdxgen-plugins-bin-darwin-arm64,0.0000,7.0000,0.0000,0.0000
@g-bits/driver_redhat_x64,0.0000,0.0000,0.0000,0.0000
@soundscript/cli-win32-x64,0.0000,478.3264,0.0000,0.0000
@fugood/node-whisper-linux-x64-cuda,0.0000,0.0000,0.0000,0.0000
@stargatefinance/stg-evm-sdk-v2,0.0000,319.1429,4.0000,2.0000
@soundscript/cli-darwin-arm64,0.0000,478.3264,0.0000,0.0000
@multiplayer-app/cli-windows-x64,0.0000,0.0000,0.0000,0.0000
@agents-shire/cli-linux-arm64,0.0000,0.0000,0.0000,0.0000
@intlayer/backend,0.0000,80.0579,0.0000,0.0000
@memvid/cli-linux-x64,0.0000,0.0000,0.0000,0.0000
zraldcli-linux-x64-baseline-musl,0.0000,0.0000,0.0000,0.0000
@multiplayer-app/cli-linux-arm64,0.0000,0.0000,0.0000,0.0000
@cubic-dev-ai/cli-linux-arm64-musl,0.0000,0.0000,0.0000,0.0000
zraldcli-linux-arm64,0.0000,0.0000,0.0000,0.0000
@clicli/app,0.0000,74.6667,1.3333,2.0054
@microsoft/dataverse,0.2000,64.7500,22.3636,0.6364
node-linux-ppc64le,0.0000,0.0000,0.0000,0.0000
@aptos-scp/scp-component-rn-device-services,0.0026,78.0884,9.8401,1.5204
@soundscript/cli-darwin-x64,0.0000,478.3264,0.0000,0.0000
@toothfairyai/tfcode-linux-arm64-musl,0.0035,9.2500,1.0639,1.4932
@legna-lnc/legnacode-linux-x64,0.0000,0.0000,0.0000,0.0000
automagik-genie,0.0068,173.8811,26.1040,1.2536
codegenie-windows-x64,0.0000,0.0000,0.0000,0.0000
@webitel/api-services,0.0000,57.6780,72.4235,1.6896
mp-design-system,0.0000,1264.2941,8.9294,1.1697
@dianshuv/hapi-win32-x64,0.0000,0.0000,0.0000,0.0000
@contextzero/nest-linux-x64,0.0000,109.0000,3.0000,1.0000
hunkdiff-linux-x64,0.0000,0.0000,0.0000,0.0000
product-lixian,0.0191,144.5833,19.6837,1.1531
quasar-extras-svg-icons,0.0000,1364.9852,0.0000,0.0000
@toothfairyai/tfcode-linux-x64-musl,0.0035,9.2500,1.0639,1.4932
@memory.build/cli-windows-x64,0.0000,0.0000,0.0000,0.0000
@govtechsg/open-attestation-cli,0.0034,41.3682,12.5768,1.0594
royco,0.0004,38.7315,10.0522,1.1889
db-hafas-stations,0.0000,33.0000,8.0000,0.3333
@codemod.com/cli-win32-x64-msvc,0.0000,0.0000,0.0000,0.0000
@dianshuv/hapi-linux-x64,0.0000,0.0000,0.0000,0.0000
@contextzero/nest-win32-x64,0.0000,109.0000,3.0000,1.0000
forgecode,0.0000,99.0000,19.7143,0.5714
@tomashighres/gamma,0.0026,182.9363,16.3088,1.5766
@pact-foundation/pact-standalone,0.0055,3051.2857,5.9904,1.2684
aspose.cells.node.darwin.arm64,0.0000,0.0000,0.0000,0.0000
@toothfairyai/tfcode-linux-x64-baseline-musl,0.0035,9.2500,1.0639,1.4932
app-ui-tauros,0.0133,72.3598,24.0370,0.8210
@matrix-ai/oh-my-matrix-windows-x64-baseline,0.0000,0.0000,0.0000,0.0000
@qvac/diffusion-cpp,0.1250,251.0000,13.4444,1.7778
waifu2x,0.0556,363.3333,15.8214,1.1071
@finbourne/lusid-preview,0.0004,83.4459,3.7482,0.5704
@toothfairyai/tfcode-darwin-x64-baseline,0.0035,9.2500,1.0639,1.4932
@matrix-ai/oh-my-matrix-windows-x64,0.0000,0.0000,0.0000,0.0000
@cdxgen/cdxgen-plugins-bin-windows-arm64,0.0000,7.0000,0.0000,0.0000
@legna-lnc/legnacode-linux-arm64,0.0000,0.0000,0.0000,0.0000
@babylonjs/react-native-windows-0-69,0.0000,0.0000,0.0000,0.0000
@factory/cli-darwin-x64-baseline,0.0000,0.0000,0.0000,0.0000
local-saml-idp,0.0000,34.0000,0.0000,0.0000
mta-gtfs-static,0.0000,0.0000,0.0000,0.0000
cypress-browser-extension-plugin,0.0375,35.3750,6.8108,1.2973
facepass-react-native-module,0.0000,171.0000,6.5238,0.9365
@traces-sh/traces-linux-x64,0.0000,0.0000,0.0000,0.0000
@alumnium/cli-windows-x64,0.0000,5.0000,0.0000,0.0000
noto-fontface-cjk-jp,0.0000,0.0000,0.0000,0.0000
@ironsoftware/ironpdf-engine-windows-x64,0.0000,3.0000,0.0000,0.0000
poker-evaluator,0.0303,19.1364,14.1538,1.4615
anycloud,0.0483,151.1875,21.4245,1.0712
@hippox/codegenie-win32-x64,0.0000,0.0000,0.0000,0.0000
@factory/cli-darwin-x64,0.0000,0.0000,0.0000,0.0000
@viro-community/react-viro,0.0094,83.8836,25.7778,1.4444
@zweicli/linux-x64,0.0000,0.0000,0.0000,0.0000
@embedder/embedder-linux-x64,0.0000,0.0000,0.0000,0.0000
react-native-sia,0.0220,898.1429,33.9565,0.9565
grok-dev,0.0034,79.8611,19.7268,1.4649
@legna-lnc/legnacode-win32-ia32,0.0000,0.0000,0.0000,0.0000
@toothfairyai/tfcode-linux-arm64,0.0035,9.2500,1.0639,1.4932
hbuilderx-plugin-uniapp-runextension,0.0000,0.0000,0.0000,0.0000
node-linux-armv7l,0.0000,0.0000,0.0000,0.0000
@legna-lnc/legnacode-win32-x64,0.0000,0.0000,0.0000,0.0000
galx-storage,0.0000,0.0000,0.0000,0.0000
@cdxgen/cdxgen-plugins-bin-darwin-amd64,0.0000,7.0000,0.0000,0.0000
mac-hbuilderx-plugin-launcher,0.0000,0.0000,0.0000,0.0000
btca,0.1667,1631.0000,14.9028,1.6944
@d3k/linux-x64,0.5000,194.0000,17.1818,1.0909
@alumnium/cli-windows-arm64,0.0000,5.0000,0.0000,0.0000
wuic-framework-lib,0.0000,2475.5000,0.0000,0.0000
@pickup-cli/win32-x64,0.0000,0.0000,0.0000,0.0000
@toothfairyai/tfcode-windows-x64-baseline,0.0035,9.2500,1.0639,1.4932
@antinomyhq/forge,0.0000,166.0000,28.9000,0.2000
react-native-vosk,0.0286,41.2143,4.9688,0.7500
ghost-architect-open,0.0286,251.9296,31.7361,1.4576
@toothfairyai/tfcode-linux-x64,0.0035,9.2500,1.0639,1.4932
@involvex/youtube-music-cli,0.0000,600.0000,1.2071,1.7012
@cyclonedx/cdxgen-plugins-bin-darwin-amd64,0.0000,7.0000,0.0000,0.0000
goatchain-cli-windows-x64,0.0000,0.0000,0.0000,0.0000
@toothfairyai/tfcode-windows-x64,0.0035,9.2500,1.0639,1.4932
hunkdiff-linux-arm64,0.0000,0.0000,0.0000,0.0000
@synsci/cli2-linux-x64,0.0000,0.0000,0.0000,0.0000
@tursodatabase/sync-react-native,0.0423,204.2143,14.1944,1.6250
retypeapp-linux-x64,0.0000,35.0000,7.0000,1.0000
@zigc/lib,0.0000,618.5000,12.1648,1.1538
@synsci/cli2-linux-x64-musl,0.0000,0.0000,0.0000,0.0000
goatchain-cli-linux-x64,0.0000,0.0000,0.0000,0.0000
@synsci/cli2-linux-x64-baseline-musl,0.0000,0.0000,0.0000,0.0000
kifaru-linux-x64-baseline,0.0000,0.0000,0.0000,0.0000
@zweicli/windows-x64,0.0000,0.0000,0.0000,0.0000
kifaru-darwin-arm64,0.0000,0.0000,0.0000,0.0000
numasec-linux-x64-musl,0.0000,0.0000,0.0000,0.0000
goatchain-cli-linux-arm64,0.0000,0.0000,0.0000,0.0000
@synsci/cli2-linux-x64-baseline,0.0000,0.0000,0.0000,0.0000
numasec-linux-x64,0.0000,0.0000,0.0000,0.0000
@lavilas/codex-win32-x64,0.0000,0.0000,0.0000,0.0000
tree-sitter-objectscript,0.0641,321.5000,7.0714,2.4643
betterncm-packed-plugins,0.0000,0.0000,0.0000,0.0000
@factory/cli-win32-arm64,0.0000,0.0000,0.0000,0.0000
@machina.ai/cell-code-windows-x64,0.0000,0.0000,0.0000,0.0000
@ip-location-db/dbip-city,0.0000,0.0000,0.0000,0.0000
@cubic-dev-ai/cli-windows-x64,0.0000,0.0000,0.0000,0.0000
acp-extension-codex-linux-x64,0.0000,0.0000,0.0000,0.0000
@lavilas/codex-darwin-x64,0.0000,0.0000,0.0000,0.0000
@synsci/cli2-linux-arm64,0.0000,0.0000,0.0000,0.0000
@lavilas/codex-win32-arm64,0.0000,0.0000,0.0000,0.0000
@strvmarv/total-recall,0.1667,96.2500,16.6364,1.3636
opentest-actor,0.0000,27.5000,39.0000,1.0000
@machina.ai/cell-code-windows-arm64,0.0000,0.0000,0.0000,0.0000
kifaru-linux-x64-baseline-musl,0.0000,0.0000,0.0000,0.0000
aid-elements,0.0000,169.3333,14.0000,1.3333
kifaru-windows-x64,0.0000,0.0000,0.0000,0.0000
@andes/plex,0.0075,88.4677,3.4641,1.5525
@machina.ai/cell-code-linux-x64-musl,0.0000,0.0000,0.0000,0.0000
@synsci/cli2-windows-x64-baseline,0.0000,0.0000,0.0000,0.0000
@machina.ai/cell-code-linux-arm64,0.0000,0.0000,0.0000,0.0000
@lavilas/codex-linux-arm64,0.0000,0.0000,0.0000,0.0000
@machina.ai/cell-code-darwin-arm64,0.0000,0.0000,0.0000,0.0000
kifaru-linux-arm64-musl,0.0000,0.0000,0.0000,0.0000
@toothfairyai/tfcode-darwin-arm64,0.0035,9.2500,1.0639,1.4932
openwork-orchestrator-windows-x64,0.0000,0.0000,0.0000,0.0000
minecraft-assets,0.0088,58.8333,17.5556,1.3333
kifaru-linux-arm64,0.0000,0.0000,0.0000,0.0000
@synsci/cli2-windows-x64,0.0000,0.0000,0.0000,0.0000
jamkit,0.0068,74.6667,2.2666,2.5250
numasec-linux-x64-baseline,0.0000,0.0000,0.0000,0.0000
@cdktn/provider-kubernetes,0.0031,2558.3239,21.5413,1.0000
@lavilas/codex-darwin-arm64,0.0000,0.0000,0.0000,0.0000
killstata-windows-x64,0.0000,0.0000,0.0000,0.0000
@machina.ai/cell-code-linux-x64,0.0000,0.0000,0.0000,0.0000
kifaru-darwin-x64,0.0000,0.0000,0.0000,0.0000
numasec-darwin-x64,0.0000,0.0000,0.0000,0.0000
@machina.ai/cell-code-linux-x64-baseline-musl,0.0000,0.0000,0.0000,0.0000
@codemod.com/cli-linux-arm64-gnu,0.0000,0.0000,0.0000,0.0000
form-imagining,0.0029,644.0292,1.7989,2.0188
@machina.ai/cell-code-linux-x64-baseline,0.0000,0.0000,0.0000,0.0000
live2dapi-noa,0.0000,106.0000,9.3150,0.7244
turtlecode-backend-linux-arm64-musl,0.0000,0.0000,0.0000,0.0000
@cdktn/provider-azurerm,0.0003,508.8076,21.0953,1.0000
node-linux-s390x,0.0000,0.0000,0.0000,0.0000
@circuitorg/agent-cli,0.0000,0.0000,0.0000,0.0000
@machina.ai/cell-code-darwin-x64-baseline,0.0000,0.0000,0.0000,0.0000
@codemieai/codemie-opencode-windows-x64-baseline,0.0000,0.0000,0.0000,0.0000
turnilo,0.0097,50.1532,2.8509,1.5589
zeeve-cli-corda-enterprise-plugin,0.0289,92.5455,9.0000,1.1512
@codemieai/codemie-opencode-windows-x64,0.0000,0.0000,0.0000,0.0000
consortium-code-darwin-arm64,0.0000,0.0000,0.0000,0.0000
@toothfairyai/tfcode-linux-x64-baseline,0.0035,9.2500,1.0639,1.4932
@scratch/scratch-gui-standalone,0.0007,84.0971,2.4151,1.6160
nipurn-xprompt-new-linux-x64-baseline,0.0000,0.0000,0.0000,0.0000
@cubic-dev-ai/cli-windows-x64-baseline,0.0000,0.0000,0.0000,0.0000
@zigc/linux-x64,0.0000,0.0000,0.0000,0.0000
@mcpmesh/cli-darwin-arm64,0.0000,0.0000,0.0000,0.0000
numasec-darwin-x64-baseline,0.0000,0.0000,0.0000,0.0000
nipurn-xprompt-new-linux-x64-musl,0.0000,0.0000,0.0000,0.0000
@synsci/cli2-darwin-x64-baseline,0.0000,0.0000,0.0000,0.0000
@wachi-cli/win32-x64,0.0000,0.0000,0.0000,0.0000
@synsci/cli2-linux-arm64-musl,0.0000,0.0000,0.0000,0.0000
@mcpmesh/cli-darwin-x64,0.0000,0.0000,0.0000,0.0000
@toothfairyai/tfcode-windows-arm64,0.0035,9.2500,1.0639,1.4932
@menloresearch/uranus-element,0.0000,35357.0000,19.9664,1.7871
@aws-cdk/aws-quicksight,0.1000,27740.6000,10.6645,1.0003
@zenku/cli-linux-arm64,0.0000,0.0000,0.0000,0.0000
nipurn-xprompt-new-linux-x64-baseline-musl,0.0000,0.0000,0.0000,0.0000
depository-deploy-linux,0.0000,1774.8514,8.8431,1.7171
numasec-linux-arm64,0.0000,0.0000,0.0000,0.0000
@nativescript/canvas,0.0082,81.5529,29.4524,1.3095
droplocation-cypress-binaries-win32,0.0000,0.0000,0.0000,0.0000
chinese-poetry,0.0000,0.0000,0.0000,0.0000
@bentley/imodeljs-darwin-arm64,0.0000,0.0000,0.0000,0.0000
@synsci/cli2-darwin-x64,0.0000,0.0000,0.0000,0.0000
@luxamm/ethers-rs-mobile,0.0000,0.0000,0.0000,0.0000
@kutalia/whisper-node-addon,0.0000,45.0000,5.1667,0.8333
@traces-sh/traces-linux-arm64,0.0000,0.0000,0.0000,0.0000
@mcpmesh/cli-linux-arm64,0.0000,0.0000,0.0000,0.0000
@machina.ai/cell-code-darwin-x64,0.0000,0.0000,0.0000,0.0000
@adens/openwa,0.0198,174.7347,9.7642,1.5680
@bunny.net/cli-windows-x64,0.0000,0.0000,0.0000,0.0000
hispasat-ui,0.0000,158.8750,0.0000,0.0000
@toothfairyai/tfcode-darwin-x64,0.0035,9.2500,1.0639,1.4932
@cyclonedx/cdxgen-plugins-bin-linux-arm64,0.0000,7.0000,0.0000,0.0000
@machina.ai/cell-code-windows-x64-baseline,0.0000,0.0000,0.0000,0.0000
numasec-darwin-arm64,0.0000,0.0000,0.0000,0.0000
nipurn-xprompt-new-linux-arm64,0.0000,0.0000,0.0000,0.0000
rocketbatch,0.0000,532.0000,36.9048,1.2857
consortium-code-darwin-x64,0.0000,0.0000,0.0000,0.0000
nipurn-xprompt-new-darwin-x64-baseline,0.0000,0.0000,0.0000,0.0000
consortium-code-linux-arm64,0.0000,0.0000,0.0000,0.0000
react-native-app-state-aware-focus-effect,0.0152,20.1818,13.0000,1.0000
@embedder/embedder-linux-arm64,0.0000,0.0000,0.0000,0.0000
nipurn-xprompt-new-darwin-x64,0.0000,0.0000,0.0000,0.0000
@nuggetslife/vc-rn,0.0073,53.8972,9.7500,2.6429
@amazon-devices/sentry__react-native,0.0058,53.8671,14.3023,1.0581
@machina.ai/cell-code-linux-arm64-musl,0.0000,0.0000,0.0000,0.0000
depository-deploy-macos,0.0000,1774.8514,8.8431,1.7171
nodejs-mobile-react-native,0.0000,95.1111,32.7857,1.2857
@sparkz-community/common-client-lib,0.0118,4129.1026,15.3260,1.6896
nipurn-xprompt-new-linux-arm64-musl,0.0000,0.0000,0.0000,0.0000
nipurn-xprompt-new-darwin-arm64,0.0000,0.0000,0.0000,0.0000
turtlecode-backend-linux-x64,0.0000,0.0000,0.0000,0.0000
@yahoo/uds-v5-wip-cli,0.0000,25.0000,0.0000,0.0000
@operato/scene-urdf,0.0389,76.5909,2.4286,0.8571
nipurn-xprompt-new-linux-x64,0.0000,0.0000,0.0000,0.0000
turtlecode-backend-linux-x64-baseline,0.0000,0.0000,0.0000,0.0000
@nozomioai/nia-windows-x64,0.0000,0.0000,0.0000,0.0000
@babylonjs/react-native-windows-0-65,0.0000,0.0000,0.0000,0.0000
react-native-tor,0.0000,151.0000,23.7143,0.6667
@postman/pm-bin-macos-arm64,0.0042,122.8012,19.4261,1.4629
@embedder/embedder-windows-x64,0.0000,0.0000,0.0000,0.0000
numasec-windows-x64,0.0000,0.0000,0.0000,0.0000
@ironfish/rust-nodejs-linux-x64-gnu,0.0000,0.0000,0.0000,0.0000
@cal88/interactive-brokers-mcp,0.0330,1782.0000,15.2276,1.7296
turtlecode-backend-windows-x64-baseline,0.0000,0.0000,0.0000,0.0000
@nhtio/create-ts-lib-starter,0.0190,65.7143,31.4286,1.0714
@fugood/node-llama-linux-x64-cuda,0.0000,0.0000,0.0000,0.0000
@ironfish/rust-nodejs-linux-x64-musl,0.0000,0.0000,0.0000,0.0000
@newtype-os/cli-darwin-arm64,0.0000,0.0000,0.0000,0.0000
react-native-tdlib,0.0000,112.3333,0.0000,0.0000
athithan-dev,0.0000,0.0000,0.0000,0.0000
numasec-windows-arm64,0.0000,0.0000,0.0000,0.0000
vite-plugin-norg,0.0302,91.1364,11.7406,1.9057
turtlecode-backend-windows-x64,0.0000,0.0000,0.0000,0.0000
turtlecode-backend-linux-arm64,0.0000,0.0000,0.0000,0.0000
numasec-linux-arm64-musl,0.0000,0.0000,0.0000,0.0000
deepspeech-gpu,0.1667,222.3333,4.0000,0.8571
reredd-windows-x64,0.0000,0.0000,0.0000,0.0000
turtlecode-backend-linux-x64-baseline-musl,0.0000,0.0000,0.0000,0.0000
@codemod.com/cli-darwin-x64,0.0000,0.0000,0.0000,0.0000
ui-test-tauros,0.0200,63.8374,23.3892,0.7980
nipurn-xprompt-new-windows-x64,0.0000,0.0000,0.0000,0.0000
@mcpmesh/cli-linux-x64,0.0000,0.0000,0.0000,0.0000
opencode-codex-orch-linux-x64,0.0000,0.0000,0.0000,0.0000
@zigc/darwin-arm64,0.0000,0.0000,0.0000,0.0000
turtlecode-backend-windows-arm64,0.0000,0.0000,0.0000,0.0000
@d3k/darwin-arm64,0.5000,194.0000,17.1818,1.0909
ideavo-code-linux-x64-baseline,0.0000,0.0000,0.0000,0.0000
@zigc/win32-arm64,0.0000,0.0000,0.0000,0.0000
@superinterface/server,0.0016,37.3867,2.2234,1.7192
turtlecode-backend-linux-x64-musl,0.0000,0.0000,0.0000,0.0000
innoq-styleguide,0.0000,394.1471,23.5191,1.6284
nipurn-xprompt-new-windows-x64-baseline,0.0000,0.0000,0.0000,0.0000
@sencha/eslint-plugin-extjs,0.0105,179.1795,22.8561,1.4245
@debugmcp/mcp-debugger,0.0164,716.3864,3.3768,1.7073
@pspdfkit/nodejs,0.0179,2536.1250,1.0083,1.7195
@octokit/openapi,0.0589,20.0000,0.0000,0.0000
conintervu,0.0008,234.4286,12.2142,1.7610
azure-devops-work-items-mac,0.0000,34.0000,10.0000,1.0000
@oh-labs/oh-omp-linux-x64,0.0000,0.0000,0.0000,0.0000
@zigc/linux-arm64,0.0000,0.0000,0.0000,0.0000
numasec-windows-x64-baseline,0.0000,0.0000,0.0000,0.0000
react-native-adyen-cse,0.1667,19.2500,11.5000,1.0000
geoip-lite-updated,0.1428,189.7143,43.4800,1.7600
@socialgouv/legi-data,0.0569,27.1250,9.9286,0.9286
@qlik/react-native-helium,0.0000,30.3333,0.0000,0.0000
ideavo-code-linux-x64,0.0000,0.0000,0.0000,0.0000
@zigc/win32-x64,0.0000,0.0000,0.0000,0.0000
innertest,0.0385,176.4444,10.3333,0.3333
@newtype-os/cli-windows-x64,0.0000,0.0000,0.0000,0.0000
@codex-infinity/codex-infinity,0.0000,215.0000,14.0000,0.6667
dotcli-demo,0.0000,125.0000,19.0000,0.5000
@ironsoftware/ironpdf-engine-linux-x64,0.0000,3.0000,0.0000,0.0000
aciano-cdn,0.0000,33.3333,1.2847,1.6414
@tmedanovic/genie-cli,0.0426,776.3488,27.6943,1.0792
@42ailab/42plugin-win32-x64,0.0000,0.0000,0.0000,0.0000
cactus-react-native,0.0109,74.2078,97.2083,0.8333
@agent-orcha/node-omni-orcha-linux-x64-cuda,0.0000,0.0000,0.0000,0.0000
consortium-code-linux-x64,0.0000,0.0000,0.0000,0.0000
@ironsoftware/ironpdf-engine-macos-arm64,0.0000,3.0000,0.0000,0.0000
access-nyc-patterns,0.0082,530.5357,18.0333,1.7383
@riverbankcms/sdk,0.0000,425.6930,0.0000,0.0000
@elestio/cloudgate,0.0443,189.6389,52.1143,2.0143
mstream,0.0084,374.5298,10.3448,1.4784
opencode-ai-nofc-windows-x64,0.0000,0.0000,0.0000,0.0000
@fathyb/carbonyl-linux-amd64,0.0000,1.0000,0.0000,0.0000
nume_homolog,0.0000,525.0000,36.1429,1.2857
ideavo-code-linux-x64-musl,0.0000,0.0000,0.0000,0.0000
@newtype-os/cli-darwin-x64,0.0000,0.0000,0.0000,0.0000
misans-webfont,0.0000,0.0000,0.0000,0.0000
@traces-sh/traces-windows-x64,0.0000,0.0000,0.0000,0.0000
rari-linux-arm64,0.0000,0.0000,0.0000,0.0000
ideavo-code-linux-x64-baseline-musl,0.0000,0.0000,0.0000,0.0000
@newtype-os/cli-darwin-x64-baseline,0.0000,0.0000,0.0000,0.0000
happy-next-cli,0.0743,1071.2500,33.7505,1.0710
govuk-chakra,0.0000,25.7996,1.0617,1.0004
com.shanghaiwindy.middlelayer,0.0000,0.0000,0.0000,0.0000
@vultisig/mpc-native,0.1667,337.0000,12.1667,1.0000
@ravenhouse/omni-sdk,0.0000,20025.1481,15.9072,1.6907
@react-pakistan/react-design-collection,0.0006,8.2063,14.4528,1.0377
hamlib,0.0714,503.0000,8.3333,1.3333
@zigc/darwin-x64,0.0000,0.0000,0.0000,0.0000
@newtype-os/cli-linux-x64-baseline,0.0000,0.0000,0.0000,0.0000
@newtype-os/cli-linux-x64-baseline-musl,0.0000,0.0000,0.0000,0.0000
sale-client-chengran,0.0103,74.2222,29.4375,1.5208
@cyclonedx/cdxgen-plugins-bin-windows-arm64,0.0000,7.0000,0.0000,0.0000
@costrict/cs-darwin-x64-baseline,0.0000,0.0000,0.0000,0.0000
@cascade-flow/cli,0.0000,58.0000,25.0000,0.0000
@newtype-os/cli-windows-x64-baseline,0.0000,0.0000,0.0000,0.0000
@pizzapi/cli-linux-x64,0.0091,408.9091,16.9312,1.3228
@embedder/embedder-windows-arm64,0.0000,0.0000,0.0000,0.0000
@toolbox-sdk/server-darwin-x64,0.0000,0.0000,0.0000,0.0000
@newtype-os/cli-linux-x64-musl,0.0000,0.0000,0.0000,0.0000
@chainsafe/eth2-spec-tests,0.0000,0.0000,0.0000,0.0000
echarts-china-counties-js,0.0000,1.1426,1.0340,1.0192
@agent-facets/cli-windows-x64-baseline,0.0000,0.0000,0.0000,0.0000
@newtype-os/cli-linux-arm64,0.0000,0.0000,0.0000,0.0000
@oh-labs/oh-omp-darwin-arm64,0.0000,0.0000,0.0000,0.0000
@cyclonedx/cdxgen-plugins-bin-linuxmusl-arm64,0.0000,7.0000,0.0000,0.0000
com.hecomi.ulipsync,0.0000,0.0000,0.0000,0.0000
@uniswap/ethers-rs-mobile,0.0000,0.0000,0.0000,0.0000
@newtype-os/cli-linux-x64,0.0000,0.0000,0.0000,0.0000
eve-online-sde,0.0000,64.5000,10.0000,1.0000
@sezzle/sezzle-static-widget,0.1071,784.2500,5.7568,1.4054
@svc-apac-goodyear/design-tokens,0.0000,732.0000,0.0000,0.0000
rewards-test3,0.0000,51.4515,7.1880,1.1933
rari-win32-x64,0.0000,0.0000,0.0000,0.0000
opencode-ai-nofc-windows-arm64,0.0000,0.0000,0.0000,0.0000
rari-linux-x64,0.0000,0.0000,0.0000,0.0000
@twsxtd/hapi-win32-x64,0.0000,0.0000,0.0000,0.0000
@foundryup/foundry,0.0000,0.0000,0.0000,0.0000
@sonarwatch/token-lists,0.0000,0.0000,0.0000,0.0000
opencode-ai-nofc-linux-arm64,0.0000,0.0000,0.0000,0.0000
@newtype-os/cli-linux-arm64-musl,0.0000,0.0000,0.0000,0.0000
stromdao-eaf,0.0029,614.5248,14.4959,2.0103
oh-my-magento-linux-x64,0.0000,0.0000,0.0000,0.0000
@vmosedge/proxy-sdk,0.0000,19.2381,1.0000,1.2430
astra-insight-mcp,0.0000,33.0000,0.0000,0.0000
