package,file_count,file_fan_in_avg,file_fan_out_avg,func_count,func_fan_in_avg,func_fan_out_avg,class_count,class_fan_in_avg,class_fan_out_avg
opencode-linux-arm64,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000
@kilocode/cli-linux-x64-baseline-musl,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000
@zed-industries/codex-acp-darwin-arm64,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000
devicon,3,0.0000,0.0000,9,0.3333,0.4444,0,0.0000,0.0000
@kilocode/cli-linux-x64,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000
opencode-linux-arm64-musl,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000
@node-llama-cpp/win-x64-cuda,1,0.0000,0.0000,1,0.0000,0.0000,0,0.0000,0.0000
@kilocode/cli-linux-x64-musl,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000
@bufbuild/buf-darwin-x64,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000
@bufbuild/buf-win32-arm64,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000
@kilocode/cli-linux-x64-baseline,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000
fast-geoip,4,0.5000,0.5000,10,0.1000,0.3000,0,0.0000,0.0000
@lancedb/lancedb-win32-arm64-msvc,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000
@cdktf/provider-datadog,432,1.1250,1.1250,6568,0.5545,0.5545,9374,0.0000,0.0000
@node-llama-cpp/win-x64-cuda-ext,1,0.0000,0.0000,1,0.0000,0.0000,0,0.0000,0.0000
@cdxgen/cdxgen-plugins-bin-linux-amd64,1,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000
minecraft-data,955,0.9990,0.9990,43,0.6977,0.9767,0,0.0000,0.0000
pspdfkit,82,0.0244,0.0244,3073,0.0846,0.0898,157,0.0382,0.0382
@github/copilot-darwin-arm64,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000
@op-engineering/op-sqlite,38,0.3158,0.3158,80,0.0000,0.0500,12,0.0000,0.0000
@syncfusion/ej2,104,1.4519,1.4519,123,0.0325,0.0407,3,0.0000,0.0000
oh-my-opencode-windows-x64,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000
oh-my-opencode-windows-x64-baseline,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000
@cdktf/provider-kubernetes,318,0.9874,0.9874,7782,0.4382,0.4382,11812,0.0000,0.0000
@azure/mcp-linux-x64,2,0.5000,0.5000,2,1.5000,2.0000,0,0.0000,0.0000
oh-my-openagent-linux-x64,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000
@neo4j-cypher/language-support,104,1.0865,1.0865,16095,0.0061,0.0066,1176,0.6684,0.6684
opencode-windows-arm64,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000
realm,285,1.7860,1.7860,143,0.8042,0.9301,90,0.0333,0.0333
oh-my-openagent-windows-x64,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000
oh-my-openagent-windows-x64-baseline,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000
@anthropic-ai/claude-code-darwin-x64,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000
cldr,49,0.9796,0.9796,13,1.4615,1.6154,0,0.0000,0.0000
@pnpm/linux-arm64,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000
google-closure-compiler-osx,1,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000
oh-my-opencode-linux-x64,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000
@shabados/database,10,0.5000,0.5000,10,0.0000,0.6000,0,0.0000,0.0000
@tabler/icons-webfont,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000
@deno/linux-x64-glibc,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000
@aztec/bb.js,443,0.6456,0.6456,1224,0.3145,0.3627,196,3.9133,3.9235
@cdktf/provider-azurerm,3058,0.9987,0.9987,10038,0.1251,0.1251,16794,0.0000,0.0000
@imgly/background-removal-node,7,0.0000,0.0000,24,0.0000,0.0417,2,0.0000,0.0000
@bitgo-forks/cryptocurrency-icons,2274,0.0004,0.0004,2271,0.0000,0.0000,0,0.0000,0.0000
@github/copilot-linux-arm64,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000
botframework-webchat,308,1.2370,1.2370,3725,0.0236,0.0411,7,0.0000,0.0000
@lenml/tokenizer-gemma3,7,0.4286,0.4286,70,0.0286,0.0571,0,0.0000,0.0000
@cyclonedx/cdxgen-plugins-bin-linux-amd64,1,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000
@restatedev/restate-server-linux-x64,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000
@restatedev/restate-linux-x64,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000
