package,version,size_bytes,fan_in_total,fan_out,global_instability,coupling_volume,dependency_balance
@ansvar/russian-law-mcp,0.1.0,542474403,0,10,1.0,10,-10
megicula,1.1.5,440627330,0,2,1.0,2,-2
yiya-schema-form-vite,0.1.4,761758231,0,40,1.0,40,-40
fullstacknoob-js-footer,0.1.0,527986008,0,0,0.0,0,0
mijonappa2,1.0.0,419816831,0,27,1.0,27,-27
@babylonjs/react-native-windows-0.70,1.4.4-preview,1056980228,0,18,1.0,18,-18
zipysdk_new_testing_abhiram,0.0.1,403688902,0,19,1.0,19,-19
setup-rn-auth,0.0.1,386682395,0,21,1.0,21,-21
passme-autokyc,0.0.14,400146499,0,31,1.0,31,-31
pablos-design-system,1.0.0,366903459,0,11,1.0,11,-11
taurify,1.2.8,334078020,0,2,1.0,2,-2
published-button,0.0.1,373916768,0,8,1.0,8,-8
cef-screenshot-linux-x64-gnu,0.3.2,345806759,0,0,0.0,0,0
loginxxx,0.0.1,328127396,0,8,1.0,8,-8
react-native-x-reminder,0.0.2,358880034,0,2,1.0,2,-2
@annotorious/plugin-segment-anything,0.4.0,326048987,0,11,1.0,11,-11
io.cordova.hellocodorva,2.1.0,377773028,0,3,1.0,3,-3
pkgviz,0.7.7,272464603,0,29,1.0,29,-29
node-red-zoracledb,0.0.7,245779157,0,2,1.0,2,-2
@arrowai/adk,1.0.3,312340141,0,23,1.0,23,-23
react-native-google-pay-india,1.0.0,246919207,0,10,1.0,10,-10
@beam-me-up/cats,0.0.6,289714725,0,1,1.0,1,-1
react-native-component-test2021,0.0.3,258799856,0,14,1.0,14,-14
cef-screenshot-linux-arm-gnueabihf,0.3.2,259758815,0,0,0.0,0,0
@inst/vscode-win32-x64,0.1.2,252301659,1,0,0.0,1,1
wifipackage,1.0.0,323140839,0,5,1.0,5,-5
pachirareferearncompat,0.0.1,242524000,0,10,1.0,10,-10
nyan-pet,0.0.1,244125612,0,2,1.0,2,-2
@hdwebsoft/hdcode-ai-linux-arm64,0.1.16,126232243,0,0,0.0,0,0
@zelo/zelosh-linux-arm64,0.0.12,208165318,0,0,0.0,0,0
@lolistream/react-native-resvg,0.2.2,199600026,0,23,1.0,23,-23
@cpp.js/package-proj,1.0.0,210140458,8,3,0.2727,11,5
@huteming/jhsy,3.6.1,199091971,0,0,0.0,0,0
@zelo/zelosh-win32-arm64,0.0.12,225215433,0,0,0.0,0,0
@scottsus/opencode-linux-x64-baseline-musl,1.2.15-scottsus.2,194556223,0,0,0.0,0,0
myui-bootstrap,1.0.0,206523475,0,45,1.0,45,-45
elevation-net-app,0.0.0,227188600,0,36,1.0,36,-36
@memvid/cli-darwin-x64,2.0.159,189654106,0,0,0.0,0,0
@ronii/zerokey-windows-arm64,0.0.0-dev-202604010446,175782538,0,0,0.0,0,0
yt-cesium-jj,1.0.0,239667006,0,45,1.0,45,-45
us-counties,1.2.1,174842618,0,4,1.0,4,-4
red_pericot,0.1.0,194365680,0,0,0.0,0,0
pixiv5,1.0.0,205321142,0,0,0.0,0,0
dera-template,0.0.1,187794010,0,31,1.0,31,-31
viz-library,1.0.6,156648974,0,10,1.0,10,-10
aboocode-linux-x64,0.9.1,155867420,0,0,0.0,0,0
rird-windows-x64,2.3.16,153518156,0,0,0.0,0,0
@ex-machina/opencode-linux-arm64-musl,1.3.3001,153158017,0,0,0.0,0,0
coursedio-0snoitadnuof-gnitfard-2gnitfard-ni-desu-slairetam-dna-tnempiuqe,1.0.1,180796895,0,0,0.0,0,0
slidize-plugins,26.3.0,171436371,0,0,0.0,0,0
citms-cesium,0.0.1,149317266,0,39,1.0,39,-39
fudoki-js,1.0.0,150279420,0,5,1.0,5,-5
gdk-contracts,1.1.0,174359585,0,30,1.0,30,-30
@anieo/codegenie-cli-linux-x64-baseline,1.3.3,150571814,0,0,0.0,0,0
@pixelml/claw-windows-x64-baseline,0.0.1,152067806,0,0,0.0,0,0
khawarizm,1.0.16,147606304,0,0,0.0,0,0
@lyyyuna/milvus-lite-linux-arm64,2.5.102,140575987,0,0,0.0,0,0
3dwayfinder-angular,0.2.2,136325247,1,0,0.0,1,1
wagcontent,1.0.0,159327619,0,100,1.0,100,-100
uniapp-native-ios-test-update-part2,1.0.2,154052189,0,0,0.0,0,0
react_js_playcanvas_ex,0.1.0,148363390,0,8,1.0,8,-8
yethi-code,1.0.7,133056286,0,92,1.0,92,-92
